               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10005,            0.024252,            0.024925,            0.010606,            0.037061,           0.0022446,          0.00051841,             0.10856,            0.012729,            0.036304,            0.070222,           0.0033086,           0.0033086
                   1,            0.088789,             0.02196,            0.015141,             0.06042,             0.14441,            0.027879,           0.0068806,            0.078837,            0.016605,             0.01172,              0.0402,           0.0066201,           0.0066201
                   2,            0.077189,            0.021733,           0.0095614,            0.056354,             0.34188,            0.035688,           0.0094962,            0.074022,             0.07096,            0.008124,            0.010156,           0.0099095,           0.0099095
                   3,            0.068943,            0.020816,           0.0076911,             0.20754,             0.19803,             0.12483,             0.03783,            0.068237,            0.024737,           0.0054725,            0.009901,            0.009901,            0.009901
                   4,            0.063079,            0.020018,           0.0066944,              0.2817,             0.35165,             0.24207,            0.085445,            0.058749,            0.014175,           0.0041696,            0.009901,            0.009901,            0.009901
                   5,            0.059876,            0.019164,           0.0062554,             0.39059,             0.38168,             0.31645,             0.10832,            0.056716,            0.013231,           0.0043145,            0.009868,            0.009868,            0.009868
                   6,            0.057946,            0.019002,           0.0059287,             0.48612,             0.44046,             0.41841,             0.16406,            0.053102,            0.012717,           0.0038961,            0.009835,            0.009835,            0.009835
                   7,            0.056344,            0.018508,           0.0054883,             0.48953,             0.43955,             0.40593,             0.15869,            0.052858,            0.012922,           0.0041387,            0.009802,            0.009802,            0.009802
                   8,             0.05551,            0.018149,           0.0056135,             0.42569,             0.47759,             0.39929,             0.15278,            0.052693,            0.012644,           0.0038701,            0.009769,            0.009769,            0.009769
                   9,             0.05419,            0.017857,           0.0053139,             0.46719,             0.44858,             0.41618,             0.16861,            0.051994,            0.012675,           0.0036314,            0.009736,            0.009736,            0.009736
                  10,            0.053573,            0.017891,           0.0052864,             0.53837,             0.51065,             0.49735,             0.20835,            0.050525,            0.012183,           0.0036472,            0.009703,            0.009703,            0.009703
                  11,             0.05284,            0.017671,           0.0050427,             0.53142,              0.5044,             0.50116,             0.20718,            0.049723,             0.01213,           0.0034762,             0.00967,             0.00967,             0.00967
                  12,            0.052206,            0.017547,           0.0050646,             0.51152,             0.48612,             0.46144,               0.196,            0.049431,            0.012302,           0.0035155,            0.009637,            0.009637,            0.009637
                  13,            0.051936,            0.017595,           0.0047788,             0.57643,             0.49945,             0.50958,             0.21456,            0.049181,            0.012278,           0.0036756,            0.009604,            0.009604,            0.009604
                  14,            0.051425,            0.017412,           0.0048515,             0.58784,             0.51269,             0.52357,             0.22302,            0.048006,            0.011867,           0.0033781,            0.009571,            0.009571,            0.009571
                  15,            0.050809,            0.016965,           0.0048375,             0.54735,             0.52134,             0.51556,             0.22136,            0.048199,            0.011908,            0.003371,            0.009538,            0.009538,            0.009538
                  16,            0.050644,            0.017129,           0.0047202,             0.56607,              0.5309,             0.52914,             0.22332,            0.048245,            0.011907,           0.0032453,            0.009505,            0.009505,            0.009505
                  17,            0.050257,            0.016933,           0.0046619,             0.58729,             0.55294,             0.55631,             0.24274,            0.047518,            0.011696,           0.0031095,            0.009472,            0.009472,            0.009472
                  18,             0.05003,            0.017002,            0.004671,             0.61431,              0.5352,             0.56022,             0.24849,            0.047977,            0.011754,           0.0034904,            0.009439,            0.009439,            0.009439
                  19,            0.049678,            0.016924,           0.0046269,             0.60599,             0.54541,              0.5725,             0.25167,             0.04806,            0.011638,           0.0034811,            0.009406,            0.009406,            0.009406
                  20,            0.049591,            0.016877,           0.0044839,             0.58966,             0.55643,             0.56583,             0.25822,            0.047609,            0.011772,           0.0036264,            0.009373,            0.009373,            0.009373
                  21,            0.049317,            0.016723,           0.0044581,             0.60723,             0.54788,             0.57591,             0.25653,            0.046635,            0.011449,           0.0030464,             0.00934,             0.00934,             0.00934
                  22,            0.049145,            0.016533,            0.004567,             0.60729,             0.55512,             0.56399,             0.24887,            0.046282,            0.011432,           0.0030717,            0.009307,            0.009307,            0.009307
                  23,            0.048618,            0.016731,           0.0043919,             0.62062,             0.56715,             0.59295,             0.26712,             0.04571,            0.011318,           0.0030763,            0.009274,            0.009274,            0.009274
                  24,            0.048457,            0.016547,           0.0043069,             0.62811,             0.57563,             0.60199,             0.27187,            0.045887,            0.011358,           0.0031132,            0.009241,            0.009241,            0.009241
                  25,            0.048601,            0.016567,           0.0044411,             0.64395,             0.58129,              0.6037,             0.27732,            0.045539,            0.011464,           0.0033294,            0.009208,            0.009208,            0.009208
                  26,            0.048088,            0.016505,           0.0042591,             0.62485,             0.56778,             0.59549,             0.26641,            0.045388,            0.011352,            0.003022,            0.009175,            0.009175,            0.009175
                  27,            0.048102,            0.016384,            0.004327,             0.62404,             0.58778,             0.61274,             0.28572,            0.045183,             0.01128,           0.0031143,            0.009142,            0.009142,            0.009142
                  28,            0.047901,             0.01642,           0.0041115,              0.6328,              0.5911,             0.61009,             0.28243,            0.045148,             0.01138,           0.0030078,            0.009109,            0.009109,            0.009109
                  29,             0.04741,            0.016382,           0.0041519,             0.61406,             0.57913,             0.60177,             0.26943,            0.045283,            0.011287,           0.0030607,            0.009076,            0.009076,            0.009076
                  30,            0.047495,            0.016243,           0.0042909,             0.65348,             0.58752,             0.62914,             0.29447,            0.044488,            0.011078,           0.0030858,            0.009043,            0.009043,            0.009043
                  31,            0.047163,            0.016219,           0.0042147,             0.65838,             0.57736,             0.62429,             0.28325,            0.044846,             0.01118,           0.0029656,             0.00901,             0.00901,             0.00901
                  32,             0.04733,            0.016231,           0.0041602,             0.68474,             0.58979,             0.63933,             0.30244,             0.04423,            0.010982,           0.0026222,            0.008977,            0.008977,            0.008977
                  33,            0.047309,            0.016204,           0.0040737,             0.63794,             0.60115,             0.62946,             0.29293,            0.044143,             0.01101,           0.0027546,            0.008944,            0.008944,            0.008944
                  34,            0.047151,            0.016049,           0.0039588,             0.65623,             0.58405,             0.62723,             0.29441,            0.044278,            0.011001,           0.0029278,            0.008911,            0.008911,            0.008911
                  35,             0.04696,            0.016502,           0.0040579,             0.67256,             0.60705,             0.64675,             0.30703,             0.04436,            0.010889,           0.0030485,            0.008878,            0.008878,            0.008878
                  36,             0.04676,             0.01601,           0.0040026,             0.65236,             0.60415,             0.64039,             0.30119,            0.043868,            0.010841,           0.0028395,            0.008845,            0.008845,            0.008845
                  37,            0.046521,             0.01601,           0.0040832,             0.67543,             0.60417,             0.65119,             0.30719,            0.043707,            0.010995,           0.0028994,            0.008812,            0.008812,            0.008812
                  38,            0.046457,             0.01595,           0.0040624,             0.68023,             0.60441,             0.65576,             0.31256,            0.044116,            0.010853,            0.003167,            0.008779,            0.008779,            0.008779
                  39,            0.046433,            0.016042,           0.0040331,             0.67276,              0.6239,             0.66336,             0.31089,            0.043437,            0.010763,           0.0027406,            0.008746,            0.008746,            0.008746
                  40,            0.046201,            0.015802,           0.0040102,             0.69764,             0.61537,             0.67158,             0.31757,            0.043685,            0.010791,           0.0028088,            0.008713,            0.008713,            0.008713
                  41,             0.04617,            0.015776,            0.003902,             0.67984,             0.60794,               0.657,             0.31355,            0.043646,            0.010805,           0.0026982,             0.00868,             0.00868,             0.00868
                  42,            0.046001,            0.015855,           0.0039268,             0.69857,             0.60554,             0.66521,             0.31853,            0.043695,             0.01069,           0.0027372,            0.008647,            0.008647,            0.008647
                  43,            0.046086,            0.015897,           0.0039358,             0.68261,             0.60869,             0.66187,             0.31721,            0.043053,            0.010716,           0.0028005,            0.008614,            0.008614,            0.008614
                  44,            0.045699,            0.015706,           0.0037906,              0.7079,             0.61289,             0.67465,             0.32958,            0.043303,            0.010657,           0.0028324,            0.008581,            0.008581,            0.008581
                  45,            0.045915,            0.015764,           0.0039712,             0.69091,             0.62466,             0.67134,             0.32487,            0.043479,            0.010693,           0.0031685,            0.008548,            0.008548,            0.008548
                  46,            0.045612,            0.015671,           0.0038481,             0.68132,             0.62108,             0.66739,             0.32056,            0.043328,            0.010624,            0.002713,            0.008515,            0.008515,            0.008515
                  47,             0.04551,            0.015829,           0.0039641,             0.68802,             0.63133,             0.67472,             0.33132,            0.043157,            0.010606,           0.0028512,            0.008482,            0.008482,            0.008482
                  48,            0.045461,            0.015585,           0.0038368,             0.69556,             0.63249,             0.68256,             0.33385,            0.042933,            0.010512,             0.00269,            0.008449,            0.008449,            0.008449
                  49,            0.045616,            0.015813,           0.0038888,             0.69245,             0.62247,             0.67762,              0.3316,            0.043135,             0.01057,           0.0029563,            0.008416,            0.008416,            0.008416
                  50,            0.045234,            0.015711,           0.0037867,             0.68888,             0.63117,             0.67614,             0.32968,            0.042528,            0.010523,           0.0027172,            0.008383,            0.008383,            0.008383
                  51,            0.045263,            0.015795,           0.0039598,             0.69676,             0.63705,             0.68817,             0.33855,            0.042857,            0.010564,           0.0028501,             0.00835,             0.00835,             0.00835
                  52,            0.044997,            0.015547,           0.0038888,             0.70681,             0.63609,             0.69118,             0.33879,            0.042608,            0.010467,            0.002636,            0.008317,            0.008317,            0.008317
                  53,             0.04499,            0.015671,           0.0037444,             0.70009,              0.6372,             0.69028,             0.33802,            0.042976,            0.010465,           0.0026282,            0.008284,            0.008284,            0.008284
                  54,            0.045001,             0.01562,            0.003661,             0.69849,              0.6354,             0.68788,             0.34077,            0.042264,            0.010417,           0.0025809,            0.008251,            0.008251,            0.008251
                  55,             0.04498,            0.015575,           0.0037866,             0.70338,             0.63195,             0.68909,              0.3394,            0.042242,            0.010438,           0.0025235,            0.008218,            0.008218,            0.008218
                  56,             0.04497,            0.015644,           0.0036796,             0.71303,             0.63742,             0.69776,             0.34544,             0.04226,            0.010375,           0.0025983,            0.008185,            0.008185,            0.008185
                  57,            0.045075,            0.015627,           0.0036765,             0.71583,             0.64081,              0.6996,              0.3495,            0.042427,            0.010389,           0.0025802,            0.008152,            0.008152,            0.008152
                  58,            0.044879,            0.015371,           0.0038616,             0.69739,              0.6477,             0.69971,             0.34548,            0.042369,            0.010358,           0.0025639,            0.008119,            0.008119,            0.008119
                  59,            0.044512,            0.015433,           0.0036093,             0.70027,             0.64593,              0.6974,             0.34704,            0.042386,            0.010369,            0.002591,            0.008086,            0.008086,            0.008086
                  60,            0.044709,            0.015553,           0.0037079,             0.71881,             0.64858,             0.70303,              0.3522,            0.041819,            0.010309,           0.0025929,            0.008053,            0.008053,            0.008053
                  61,            0.044417,            0.015424,           0.0035504,             0.71321,             0.65362,             0.70992,             0.35592,             0.04209,            0.010295,           0.0026056,             0.00802,             0.00802,             0.00802
